"ind","treatment","age","score","gender","experience","previous_exp","distance_majorcity","owns_motor","placement"
54,1,19,81,"M",0,0,6.02647049185196,0,0
55,0,20,77,"M",0,0,2.76891514396316,1,0
56,1,22,82,"M",1,16,3.20513749351342,1,0
57,0,18,82,"M",0,0,4.83692106642992,1,0
58,0,19,75,"F",1,13,2.19464451265094,0,0
59,0,20,70,"M",0,0,2.6862108113853,0,0
60,0,20,78,"F",1,23,4.21090526871422,0,0
61,1,21,76,"M",0,0,5.78861595419152,1,0
62,1,19,70,"M",0,0,4.63307310362994,0,0
63,1,18,73,"M",0,0,4.31755058282445,0,0
64,1,22,78,"M",1,21,2.3057187147354,1,0
65,1,19,78,"F",0,0,4.39770260022472,1,0
66,0,21,70,"F",0,0,5.21718137540544,1,0
67,0,18,77,"F",0,0,4.74274441319868,0,0
68,1,22,77,"F",1,18,7.13560798145044,0,1
69,0,20,81,"M",1,21,6.90718007162991,0,1
70,1,21,72,"M",0,0,4.51733556463958,1,0
71,1,22,75,"M",1,19,5.75274602122687,1,1
72,1,22,72,"F",1,20,5.28287366744449,1,0
73,1,18,67,"F",0,0,4.88617617000763,0,0
74,0,22,77,"M",0,0,4.65014250014795,1,0
75,1,22,83,"M",1,16,3.30178239652438,0,0
76,1,20,77,"F",1,16,4.07542602959657,0,0
77,0,19,86,"M",0,0,4.05725776687028,1,0
78,1,18,73,"F",0,0,4.42568153154449,0,0
79,1,19,71,"M",0,0,6.40388781743997,0,0
80,0,21,76,"F",1,24,4.78776710408011,0,0
81,0,19,77,"M",0,0,5.07206094772179,0,0
82,1,19,78,"M",1,27,6.26233529808308,1,1
83,0,18,78,"M",0,0,4.28890909906794,0,0
84,0,19,82,"F",0,0,3.65191754810456,1,0
85,1,22,81,"M",0,0,4.31662617018301,1,0
86,1,21,78,"F",0,0,4.72644602134716,1,0
87,0,22,69,"F",1,28,6.20352404339277,1,0
88,1,18,84,"F",0,0,5.54048052435304,1,1
89,1,19,72,"F",0,0,6.67716310858578,0,0
90,1,21,69,"F",1,23,7.18056382494567,0,1
91,0,20,73,"M",0,0,3.72831811638923,1,0
92,1,19,82,"M",1,27,5.61774089152556,0,1
93,0,22,79,"M",1,14,3.9532243756034,1,0
94,0,20,75,"M",1,18,7.22244239035358,0,1
95,1,20,78,"M",0,0,4.1279558033678,1,0
96,0,19,73,"M",0,0,5.44464168035058,0,0
97,0,19,67,"F",0,0,5.05762625777717,1,0
98,1,19,78,"F",0,0,6.89991524531157,0,0
99,1,21,78,"M",1,26,3.6882140404231,1,1
100,0,20,72,"F",1,18,4.68169468099196,0,0
101,0,20,81,"F",1,28,4.45835238057785,1,1
102,1,21,66,"M",1,20,3.06866649458278,1,0
103,0,21,73,"F",0,0,6.81384779047478,0,0
104,1,21,84,"M",1,23,4.3498750580636,0,1
105,1,22,74,"F",1,23,8.1467731661828,1,1
106,0,22,84,"M",0,0,6.63770210755125,1,0
107,1,22,75,"F",1,13,3.93862675477137,1,0
108,0,18,73,"M",0,0,3.64649759974158,1,0
109,0,22,77,"M",1,23,4.0634927543316,1,0
110,1,18,83,"F",0,0,4.42168340039527,0,1
111,1,22,75,"M",0,0,5.3055730352028,0,0
112,0,22,76,"F",0,0,2.93816083611924,1,0
113,0,18,63,"M",0,0,6.08151221693333,1,0
114,0,19,72,"F",0,0,7.07218704594656,0,0
115,1,21,77,"F",1,24,4.76171174854859,1,1
116,1,20,83,"M",1,22,5.22038793154926,1,1
117,0,19,87,"M",0,0,3.2657759131175,0,0
118,0,20,73,"M",1,22,3.99186808748461,0,0
119,0,21,78,"M",1,24,5.57838330501905,1,1
120,1,22,69,"F",0,0,6.38712896216609,1,0
121,1,22,72,"F",1,11,4.67874536987443,0,0
122,0,22,85,"M",0,0,2.2977555654369,1,0
123,0,18,82,"F",0,0,2.34918116019677,0,0
124,0,21,67,"F",0,0,6.16865354497141,1,0
125,1,22,74,"M",1,17,5.46931103202785,1,1
126,1,21,75,"M",0,0,5.76369036102477,1,0
127,1,21,77,"F",1,20,4.53496000441952,0,1
128,0,20,63,"M",1,19,6.40105826442855,1,0
129,0,20,73,"F",1,22,7.36963340680837,1,1
130,0,19,80,"M",0,0,3.75122731819315,0,0
131,1,21,76,"M",1,20,5.97006319324314,1,1
132,1,20,74,"M",1,19,4.76548775516849,0,0
133,1,19,82,"F",0,0,5.70734816213607,1,1
134,0,22,79,"M",1,17,4.13950521484648,1,0
135,1,19,76,"M",0,0,2.42234643150438,0,0
136,1,19,79,"M",0,0,4.72234708529198,1,0
137,1,19,85,"M",0,0,5.97374776971031,1,0
138,0,19,80,"M",0,0,4.8330506844604,1,0
139,1,19,71,"F",1,29,5.60692564605704,0,1
140,1,18,76,"M",1,16,5.14256895877083,1,1
141,1,21,76,"M",1,26,6.06560783714407,1,1
142,1,19,77,"M",0,0,3.58388781593818,0,0
143,0,20,81,"F",1,27,3.78590405437296,1,1
144,0,18,76,"M",0,0,5.0241212662503,0,0
145,1,21,79,"F",0,0,4.32938108433924,0,0
146,0,18,70,"M",0,0,5.44339058785709,0,0
147,1,18,73,"F",0,0,7.17639119589461,1,1
148,0,21,73,"M",0,0,7.31335133882406,0,0
149,0,22,73,"F",0,0,5.78381647333256,1,0
150,0,21,74,"M",1,22,2.6407042061401,0,0
151,1,18,84,"M",0,0,2.28975352112457,1,0
152,0,21,72,"M",0,0,5.46037240297044,0,0
153,0,22,77,"M",0,0,5.97081153115708,1,0
154,0,19,80,"F",1,19,6.32551260153415,0,1
155,1,18,67,"F",0,0,3.0230717826504,1,0
156,0,20,73,"M",0,0,3.64956658461994,0,0
157,0,19,74,"F",0,0,3.52189677611866,1,0
158,0,19,69,"M",0,0,6.21537044950798,1,0
159,0,20,79,"F",0,0,4.86884546371457,1,0
160,1,21,70,"M",1,32,6.04398897136399,1,1
161,0,20,75,"M",0,0,5.56859109780001,1,0
162,1,19,83,"F",0,0,5.51440840961771,1,1
163,0,21,74,"M",0,0,4.24627219383254,1,0
164,0,20,79,"M",0,0,6.30709660428578,0,0
165,1,22,75,"M",0,0,5.91815075746695,1,0
166,1,21,72,"M",1,19,5.22737792401889,0,0
167,1,19,77,"M",0,0,4.89482774451758,1,0
168,1,21,82,"M",0,0,3.87925520780029,1,0
169,1,21,79,"M",1,21,4.49637464273525,1,0
170,0,21,80,"F",1,25,3.61257023152607,1,1
171,0,20,75,"M",0,0,6.77728448204291,1,0
172,1,18,86,"M",0,0,2.99973842407978,1,1
173,0,19,73,"M",0,0,5.3699686277776,1,0
174,1,19,79,"M",1,13,5.41223543221378,1,1
175,0,21,74,"M",0,0,5.17038306460069,1,0
176,1,20,77,"M",1,19,5.9249575001808,0,1
177,1,21,73,"M",1,28,2.04862825189926,1,0
178,1,19,80,"M",1,16,3.08455581033917,0,1
179,0,21,83,"M",1,19,3.49854737594026,0,0
180,0,18,76,"F",1,14,9.43620318470277,1,1
181,1,22,74,"F",1,13,3.48810700641408,1,0
182,0,19,74,"F",0,0,4.25743888627932,0,0
183,0,22,68,"F",1,20,5.22789948743164,1,0
184,0,20,81,"F",1,19,1.86667926839934,1,1
185,1,18,82,"F",0,0,7.00932758920234,1,1
186,1,21,72,"M",1,23,1.77044249139761,0,0
187,0,18,81,"M",0,0,5.33409882899553,0,0
188,1,18,77,"M",0,0,3.52036335198814,0,0
189,0,19,69,"F",0,0,4.17794813390898,0,0
190,0,22,81,"M",1,19,3.66206242723819,1,0
191,0,19,79,"M",0,0,3.31290616957495,1,0
192,1,18,78,"F",0,0,5.70598221818809,1,0
193,1,19,76,"M",0,0,6.33622383196956,0,0
194,1,22,68,"M",0,0,4.99712723055385,1,0
195,0,19,74,"M",0,0,6.71109267032901,0,0
196,0,21,74,"F",1,19,0.567311012340038,0,0
197,0,18,71,"M",0,0,8.22626288925419,1,0
198,0,21,73,"M",0,0,4.43685259140982,1,0
199,0,20,76,"F",0,0,6.89246509412107,1,0
200,0,20,76,"F",1,15,6.60982264140052,1,1
201,0,22,78,"M",1,26,3.55009298831336,1,0
202,1,20,80,"F",1,13,3.50454197066109,1,0
203,0,20,76,"F",1,32,2.89005260741532,1,0
204,1,21,82,"M",1,12,4.81715601745169,0,1
205,0,20,70,"M",1,30,3.71618506721767,1,0
206,0,22,72,"M",1,11,4.35026562030016,0,0
207,1,19,72,"M",0,0,4.98141381691107,0,0
208,0,22,76,"M",1,25,4.16299986685127,1,0
209,0,19,73,"M",0,0,4.53781506241357,1,0
210,0,20,75,"M",1,25,4.91815008143569,1,1
211,1,22,79,"F",0,0,6.41412727565104,0,0
212,1,19,72,"F",0,0,5.26127741576162,0,0
213,0,21,71,"F",0,0,6.28754278197743,1,0
214,0,22,85,"M",1,32,5.23935633825887,0,1
215,1,22,77,"F",0,0,7.91107629749244,1,0
216,1,22,75,"M",1,25,3.92848994927296,1,0
217,0,19,69,"F",0,0,5.1773663344724,1,0
218,1,20,77,"M",1,24,4.11730279697943,1,1
219,1,21,74,"F",1,7,4.72185762565682,1,0
220,0,21,75,"F",0,0,7.10319000773181,1,0
221,1,22,76,"M",0,0,2.69218186438308,0,0
222,0,19,68,"F",0,0,4.18624607988419,0,0
223,0,19,76,"F",0,0,3.71673544281389,0,0
224,1,21,71,"F",1,26,5.00713796381647,1,1
225,1,21,84,"F",0,0,4.13995763638685,1,0
226,1,20,74,"F",0,0,6.85520771267912,0,0
227,1,18,74,"F",0,0,1.76546671699765,1,0
228,0,18,74,"F",1,20,5.38949174040752,1,1
229,1,19,75,"M",0,0,3.39067850210527,0,0
230,1,21,86,"M",1,18,4.3285234017492,1,1
231,1,20,71,"F",1,18,7.30874130995584,1,1
232,0,22,83,"M",0,0,6.72347414612558,1,0
233,1,21,74,"F",0,0,5.10254383083336,0,0
234,1,18,73,"M",0,0,4.5648100290914,1,1
235,0,21,84,"M",0,0,6.98590496674521,0,0
236,0,22,75,"M",0,0,4.98810187319762,0,0
237,1,21,82,"F",0,0,5.70749926348479,0,0
238,1,18,80,"F",0,0,4.34797181728596,1,0
239,0,22,74,"M",1,26,6.15217616428718,0,0
240,1,20,60,"M",0,0,5.01832171681952,0,0
241,1,21,76,"F",0,0,6.89288346482319,1,0
242,0,20,74,"M",1,21,4.86506126162946,1,0
243,0,22,75,"F",1,9,5.66805822261381,0,0
244,1,19,83,"F",0,0,3.85353099681248,1,0
245,0,21,69,"M",0,0,6.24470572150219,0,0
246,1,20,75,"F",0,0,6.55328868252298,0,0
247,0,19,75,"M",0,0,3.04334743995636,1,0
248,0,22,76,"M",1,27,5.69443202910968,1,0
249,0,19,75,"F",0,0,5.65163119205465,1,0
250,1,20,79,"M",1,22,5.03332772506608,1,1
251,0,22,72,"M",1,15,3.86657689784748,1,0
252,0,20,72,"M",1,25,6.18112726857277,1,1
253,0,22,72,"M",0,0,3.89187652123779,0,0
254,0,18,82,"M",0,0,6.52283350290261,1,0
255,1,19,75,"F",0,0,7.92812245186296,1,1
256,1,19,80,"M",0,0,6.14831255826932,0,0
257,1,20,78,"F",1,30,4.79374052592073,0,0
258,0,21,70,"F",0,0,5.15412961798178,0,0
259,0,19,85,"M",0,0,6.16889329352093,1,0
260,0,19,70,"F",1,16,6.47677445308103,0,0
261,1,20,84,"F",0,0,3.81851213068646,0,0
262,1,22,82,"M",1,30,4.98733587312241,1,1
263,1,22,82,"F",1,21,5.86074228595603,0,1
264,0,18,75,"M",1,20,6.19927572890908,1,1
265,0,20,67,"F",0,0,6.21070343633943,0,0
266,0,22,74,"F",0,0,5.63088606971186,1,0
267,0,20,74,"M",0,0,6.22325355867902,1,0
268,1,19,78,"F",0,0,6.12761423084858,0,0
269,1,18,85,"F",0,0,1.6030777964739,1,0
270,1,19,69,"F",0,0,5.16320542968874,1,0
271,0,19,78,"M",0,0,4.61250602725489,0,0
272,1,22,76,"F",1,23,6.10109715537956,1,1
273,0,22,81,"F",0,0,4.92527048931873,1,0
274,0,19,85,"F",0,0,7.81906349832616,0,0
275,1,18,75,"M",0,0,7.53908627922037,0,0
276,1,22,75,"F",1,28,3.73880016742479,0,0
277,0,19,76,"F",0,0,5.5618268548026,0,0
278,0,21,83,"M",1,27,5.85110652348918,0,0
279,0,20,73,"F",1,22,4.14303547303339,0,0
280,1,22,71,"M",1,30,6.05103242065257,1,1
281,1,21,80,"F",1,18,7.65121263918482,0,1
282,0,21,75,"F",1,21,5.93975767835343,0,0
283,1,19,76,"F",0,0,5.892469654125,0,0
284,1,19,79,"F",0,0,3.79832994740298,1,0
285,0,21,78,"M",0,0,5.78937081262172,0,0
286,0,18,74,"M",0,0,3.44182821921188,1,0
287,1,22,76,"M",1,11,6.12547299277693,1,0
288,0,18,79,"M",0,0,6.62775920334312,1,1
289,1,20,72,"F",0,0,4.20391844519796,0,0
290,1,22,76,"M",1,10,8.61417130250991,1,1
291,1,19,77,"F",0,0,5.71231536240818,1,0
292,0,20,83,"F",1,13,1.9842548637682,1,0
293,1,18,84,"F",0,0,6.13284804132835,1,1
294,1,20,75,"F",1,20,7.19136340577549,0,1
295,0,21,76,"M",1,24,5.54774298148153,0,0
296,0,20,67,"F",0,0,3.41971305235938,0,0
297,0,22,72,"M",0,0,6.54832331424166,1,0
298,1,18,80,"F",0,0,5.76358480047177,0,0
299,0,22,81,"M",0,0,8.00113870217782,0,0
300,1,19,73,"F",0,0,6.56653810400794,0,0
301,0,22,79,"M",1,23,4.00747048170445,1,0
302,0,18,78,"M",0,0,4.88842618501217,0,0
303,0,22,83,"M",0,0,7.22868313529525,0,0
304,1,20,69,"F",0,0,4.9344669929021,0,0
305,0,21,72,"F",0,0,4.24841091765371,1,0
306,1,22,72,"F",1,23,5.35294211910227,1,0
307,1,18,78,"M",0,0,5.58023055693757,1,0
308,0,19,79,"F",0,0,4.57590173344693,1,0
309,0,20,87,"F",1,12,5.78987273102006,1,1
310,1,18,87,"F",0,0,4.64287142938543,0,1
311,0,20,77,"F",1,21,5.06072841462735,1,1
312,0,21,84,"F",1,22,7.03537901446475,1,1
313,1,20,82,"F",0,0,5.29210113545948,1,0
314,0,22,68,"F",1,23,4.32228787135251,1,0
315,0,20,82,"F",1,22,4.85107683249381,0,1
316,0,20,76,"M",0,0,4.64012966769353,0,0
317,1,22,83,"M",1,11,4.9807661305281,0,0
318,0,21,85,"F",1,26,4.13821975601393,0,1
319,1,22,79,"M",1,16,3.26236612008722,1,0
320,0,18,83,"F",0,0,8.55215729022907,0,1
321,0,18,63,"M",1,13,6.81006341726212,1,0
322,1,22,72,"F",0,0,4.09394609361513,0,0
323,1,20,74,"M",1,27,4.65091519565106,1,1
324,0,20,82,"F",1,20,5.96980839642867,0,1
325,0,22,83,"F",1,21,4.63602120606099,1,1
326,1,19,68,"M",1,23,5.59850828332749,1,1
327,0,19,72,"M",0,0,6.35884162197468,1,0
328,0,21,76,"M",1,19,4.34456264240881,1,0
329,0,18,78,"M",0,0,1.65920060783387,0,0
330,0,22,72,"M",1,16,4.36311888336835,1,0
331,1,21,79,"M",1,15,4.02066885154784,1,1
332,0,22,73,"F",1,12,2.9328598497053,0,0
333,1,20,76,"F",0,0,5.58145257674092,1,0
334,1,20,84,"F",1,22,3.91795398646542,1,1
335,1,21,72,"F",1,22,7.22248611002719,1,1
336,1,20,74,"M",1,30,4.45909575095955,0,1
337,1,19,75,"M",0,0,4.98786025991197,1,0
338,1,21,77,"F",0,0,6.62743373905229,0,0
339,0,20,84,"F",1,26,7.17021841546246,0,1
340,1,22,79,"M",1,27,6.35734595487953,1,1
341,0,19,74,"F",1,23,6.03080756653032,1,1
342,1,21,79,"F",1,20,5.87897635610586,1,1
343,0,18,76,"F",0,0,2.6425160498229,1,0
344,1,20,75,"F",0,0,6.96566986686397,0,0
345,1,22,76,"F",1,14,3.66081337942035,0,0
346,0,19,83,"M",0,0,4.98730795656216,0,0
347,0,18,81,"F",0,0,2.73992378033452,1,0
348,1,22,74,"M",1,28,4.89251445698163,0,0
349,1,19,82,"M",0,0,6.04079051449356,0,1
350,0,19,75,"F",0,0,8.44998932669451,0,0
351,1,22,82,"M",1,20,5.9079194173528,1,1
352,0,18,81,"F",0,0,5.12439101514528,0,0
353,0,19,61,"F",0,0,4.5157470449437,1,0
354,0,19,73,"F",1,23,2.52390249790251,1,0
355,1,22,79,"M",0,0,1.51188701856763,0,0
356,0,18,77,"F",1,27,5.18699561061606,0,1
357,0,21,72,"M",1,8,2.64139568538926,0,0
358,0,21,67,"M",1,25,4.49551060614835,1,0
359,0,22,82,"F",1,21,5.42946164506939,0,0
360,0,22,85,"F",1,19,4.13053998195877,0,1
361,1,20,82,"M",0,0,7.40025596941213,0,1
362,0,22,73,"F",0,0,5.05983688748984,1,0
363,0,20,86,"M",0,0,7.2712637590182,1,1
364,0,19,78,"F",0,0,6.24711820275146,1,0
365,0,19,77,"M",0,0,6.9658439329432,1,0
366,1,19,82,"M",0,0,5.39863512401909,0,0
367,1,18,82,"F",1,24,5.88134044996981,1,1
368,1,21,76,"F",1,28,2.92852435902678,0,0
369,0,20,79,"F",1,26,5.08655100464363,0,1
370,1,22,75,"F",0,0,4.44513338431639,1,0
371,0,22,86,"F",0,0,4.14353864893851,1,0
372,1,19,79,"F",1,16,6.32522466575283,0,1
373,0,22,76,"M",0,0,4.34117938588149,0,0
374,1,18,74,"M",0,0,7.45419518064162,1,1
375,0,19,77,"M",0,0,7.40927208491504,1,0
376,0,21,78,"M",0,0,3.4413963719043,1,0
377,0,20,72,"F",0,0,4.16859931785817,0,0
378,0,21,73,"F",0,0,4.13197764365396,1,0
379,0,20,73,"F",1,21,4.46685222682062,1,0
380,0,20,78,"M",1,24,5.74495374810804,1,1
381,1,20,74,"F",0,0,7.04031875885481,0,0
382,1,20,74,"F",1,23,3.12772891049067,0,0
383,1,19,83,"M",0,0,4.75192045958426,1,0
384,0,18,82,"F",1,9,5.58948333303262,1,1
385,0,20,66,"M",1,21,3.12186993998445,1,0
386,1,21,78,"F",1,24,2.85245184275931,0,0
387,1,18,83,"F",0,0,5.33604809108419,0,0
388,0,20,82,"F",0,0,4.84427777802887,1,0
389,1,20,84,"M",0,0,4.06670520911376,0,0
390,1,21,72,"M",1,19,4.62690985323236,0,0
391,0,21,76,"M",1,13,4.97649971224711,1,0
392,0,22,84,"F",0,0,6.18544816030699,0,0
393,0,20,78,"F",1,21,3.73792464558455,0,0
394,0,22,83,"M",0,0,7.4172664543773,0,0
395,0,21,85,"F",0,0,4.33335080891684,0,0
396,1,22,70,"M",1,23,3.98290679246751,1,0
397,0,19,79,"M",0,0,6.70114404433845,1,0
398,0,21,66,"F",1,15,5.76412047585881,0,0
399,1,21,78,"M",1,18,4.47738205248157,1,1
400,1,22,79,"F",1,16,5.5370994611098,0,0
401,0,20,67,"M",0,0,7.07643601424216,0,0
402,1,18,85,"M",0,0,4.82888033047733,1,1
403,1,19,79,"F",1,12,4.53255036565362,0,1
404,0,22,72,"F",1,30,5.3901479299223,0,0
405,1,19,84,"M",0,0,3.56556467858819,0,0
406,1,19,76,"F",0,0,3.89768265008352,0,0
407,0,21,83,"M",0,0,3.5621172320505,1,0
408,0,20,80,"F",1,15,5.84700098308945,0,1
409,0,22,74,"M",1,19,5.22862430310233,0,0
410,0,21,78,"F",0,0,5.37658984920678,0,0
411,1,19,73,"M",0,0,6.13188494641176,1,0
412,1,22,79,"F",1,17,4.69293894112199,1,0
413,1,20,68,"F",1,17,3.42767062753647,1,0
414,0,19,68,"M",0,0,5.24341675947284,1,0
415,1,18,77,"F",0,0,6.87141648728469,1,0
416,1,18,67,"F",0,0,3.66260877796865,0,0
417,0,21,75,"F",1,24,4.61648042335406,0,0
418,0,20,84,"F",1,21,5.70571406404315,1,1
419,1,18,72,"F",0,0,5.97082319911822,1,1
420,0,19,69,"F",0,0,6.80771890712711,1,0
421,1,19,84,"M",1,22,5.63491442434933,1,1
422,1,19,74,"M",0,0,2.70907013697062,1,0
423,0,18,71,"M",0,0,4.60531619509291,1,0
424,0,18,66,"F",0,0,6.01478674036909,0,0
425,1,19,83,"F",0,0,4.61273612413765,1,0
426,1,18,61,"F",0,0,4.98677096053417,0,0
427,0,19,73,"F",0,0,5.00842848352637,1,0
428,0,18,74,"M",1,10,8.16231056597319,1,1
429,1,22,74,"M",0,0,2.30190258663063,0,0
430,0,19,67,"F",0,0,6.47384863575893,1,0
431,1,19,84,"M",0,0,5.12681277023955,1,0
432,1,21,84,"F",1,30,3.31744932464399,1,1
433,0,18,79,"M",0,0,4.66065526091047,0,0
434,0,20,73,"F",1,17,5.34264224075906,1,0
435,0,22,68,"M",0,0,6.06230973547555,0,0
436,1,20,82,"M",0,0,2.81446560841804,1,0
437,0,20,72,"F",1,20,0.677134192351222,1,0
438,0,22,87,"F",1,22,3.96070617410922,1,1
439,0,18,83,"M",0,0,2.16866350425309,0,0
440,1,19,72,"M",0,0,2.83601548557439,0,0
441,0,19,68,"F",0,0,3.33951578858579,0,0
442,0,19,76,"M",1,18,3.8275950755472,1,0
443,1,19,70,"M",1,24,5.87440267396113,1,1
444,0,22,70,"F",1,22,4.32261971837216,0,0
445,1,20,82,"F",1,17,6.23185711880043,1,1
446,1,18,76,"F",0,0,7.35865285718498,1,1
447,0,22,76,"F",0,0,5.48397565136952,1,0
448,0,18,65,"M",0,0,3.41204155222033,0,0
449,1,19,71,"F",0,0,7.51244070795835,0,0
450,0,19,72,"M",0,0,4.960186816691,0,0
451,0,22,79,"F",0,0,2.39121596404362,1,0
452,1,19,85,"M",0,0,4.27082775355231,0,0
453,1,18,70,"F",0,0,5.7446681851054,1,0
454,0,22,83,"M",1,20,4.36079684365049,0,0
455,0,20,78,"M",0,0,4.41923909723654,0,0
456,0,22,70,"M",1,24,6.38246094510072,1,0
457,0,20,74,"M",0,0,3.10060133968061,1,0
458,0,20,71,"F",0,0,7.47612531578416,1,0
459,0,20,71,"F",0,0,5.78499879455208,0,0
460,0,20,76,"F",0,0,4.94714716983027,0,0
461,1,18,81,"F",0,0,4.45652181527539,1,1
462,0,18,76,"F",0,0,7.45980045409034,1,0
463,0,19,74,"F",0,0,4.33532944149364,1,0
464,0,19,78,"M",0,0,4.84682952318149,0,0
465,0,20,76,"M",1,20,5.75082293134458,1,1
466,1,20,87,"F",1,17,5.92249464284567,0,1
467,0,19,70,"M",0,0,4.32406046070446,1,0
468,1,22,80,"F",1,23,2.97063062113927,1,0
469,0,18,77,"M",0,0,3.48349616346476,1,0
470,1,20,73,"M",0,0,4.08143314656592,1,0
471,1,20,84,"M",0,0,5.26926346825366,1,0
472,0,21,71,"M",1,25,6.1573898260207,0,0
473,0,18,80,"F",1,27,6.25683583248055,0,1
474,1,21,77,"F",1,31,3.96629623807062,0,1
475,1,22,84,"F",1,20,6.29878588751043,1,1
476,0,21,78,"F",0,0,6.48729568489365,0,0
477,1,20,58,"M",0,0,5.25310965008302,0,0
478,0,18,76,"M",0,0,7.38365557373287,0,0
479,1,22,75,"M",0,0,3.56814009472931,0,0
480,0,18,73,"M",1,14,2.45959747136517,1,0
481,0,19,79,"F",0,0,3.17862931124763,0,0
482,0,22,83,"M",0,0,4.51629247707174,1,0
483,0,22,76,"F",1,23,5.18837190575025,0,0
484,0,22,83,"F",0,0,6.73347511275374,1,0
485,1,21,82,"F",0,0,6.94854048273114,1,1
486,1,19,73,"M",0,0,6.10338414099624,1,0
487,1,22,81,"F",1,18,5.09898877103079,1,0
488,1,19,85,"F",0,0,6.98043544679831,1,1
489,1,21,82,"F",1,26,3.40265521986082,0,0
490,1,22,84,"F",1,22,5.42744346720908,1,1
491,0,22,80,"M",0,0,4.42363707758638,1,0
492,0,21,86,"F",0,0,5.16265813660105,1,0
493,0,18,75,"F",0,0,5.38770271953887,1,0
494,0,18,75,"M",0,0,5.28926806244204,0,0
495,1,18,74,"F",0,0,5.05298216863605,0,0
496,1,21,80,"M",0,0,5.84316321344873,0,0
497,0,21,85,"M",0,0,5.52043687776944,1,0
498,0,19,64,"M",1,16,5.84703846172462,1,0
499,0,18,81,"M",0,0,6.5607321347369,1,1
500,1,21,76,"F",1,17,5.96479815199029,1,1
501,1,18,78,"F",1,24,5.79954751759759,1,1
502,0,18,67,"M",0,0,5.24746561711682,1,0
503,1,20,77,"F",0,0,4.17737877616556,1,0
504,1,20,75,"M",0,0,2.34752109642977,1,0
505,1,22,73,"F",0,0,4.37221074127655,1,0
506,0,22,78,"M",1,20,2.57688368267889,1,0
507,0,19,81,"M",1,19,6.32287382104504,1,1
508,0,22,84,"F",1,11,3.9152672335549,0,0
509,0,22,68,"M",1,22,4.70229910780561,1,0
510,1,19,81,"M",0,0,3.3353165931736,1,0
511,1,20,76,"F",1,24,6.39599847643785,0,1
512,0,19,71,"M",0,0,6.79973643877342,0,0
513,1,22,74,"F",1,28,2.77352108045964,1,0
514,1,19,80,"M",0,0,1.86346694523635,0,0
515,0,20,68,"F",1,22,2.85755835025624,0,0
